name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert
HIZSS003,105.1221,-4.2083, 1.67, 298, 13.83, 70,57.817235753107376,2.689702938751312,
VCC0381,184.9754,6.6658, 4.71, 480, 16.34, 23,3.177599017352965,1.1398025146651838,
KK49,85.4229,6.6817, 5.15, 455, 15.06, 55,18.313760148589164,1.6416994481192049,
AGC191803,147.0246,7.1292,14.9, 535, 16.78, 55,4.349581664421126,3.0732226444190904,
AGC174605,117.5904,7.7944, 6.00, 351, 17.84, 24,5.911745219281294,1.9070874276627925,
AGC174585,114.0429,9.9864, 6.10, 356, 18.05, 21,16.3967820265473,1.3476407227159148,
UGC05456,151.8321,10.3622, 5.60, 527, 15.30, 62,22.51988919153949,2.30696384868181,
GR8,194.6683,14.2175, 2.13, 217, 15.24, 26,17.438293824132,1.7103696550220864,
LSBCD634-03,137.2229,14.5819, 9.55, 335, 18.99, 47,6.0727331469169625,1.440061736122549,
Pegasus,352.1421,14.7467, 0.76,-184, 13.90, 23,40.82627580600826,1.1410519065093438,
UGC02905,59.2525,16.5244, 5.83, 292, 15.76, 41,7.704572202633132,2.095757827531022,
UGC00685,16.8429,16.6839, 4.51, 156, 14.75, 64,20.52178607381761,2.635037813447689,
UGC02716,51.03,17.7542, 6.40, 381, 15.67, 44,2.995869719017821,2.296665303701185,
LeoP,155.4379,18.0881, 2.00, 262, 17.70, 16,3.4573362642333727,0.9599908162945535,
KDG215,193.9187,19.2092, 5.50, 419, 15.79, 25,11.092072626041878,1.0252020344597204,
DDO187,213.9854,23.0553, 2.20, 160, 14.89, 31,18.752613486675756,0.9977895882472979,
NGC1156,44.9267,25.2375, 7.80, 373, 13.23, 68,109.06772045468001,2.117496602693151,
IC3308,186.3246,26.7147,12.8, 316, 14.94,125,27.673082246566143,2.220888126264725,
DDO154,193.5217,27.1486, 4.04, 374, 13.16, 80,178.43513198879918,3.8394477735052814,
AGC112521,25.2829,27.3239, 6.52, 274, 17.88, 26,1.8786253518685503,1.1845378414233034,
AGC731457,157.9825,28.0258, 9.20, 454, 17.92, 36,27.452700036572452,2.2937623645290453,
KK17,30.0413,28.8325, 4.90, 168, 17.44, 20,68.66546784099916,1.4475157926663627,
NGC0784,30.32,28.8436, 4.97, 193, 13.16, 88,131.56630192413027,2.4561680754557003,
KK127,183.3446,29.9217,17.3, 131, 16.18, 64,5.0495330138045995,3.480814786880224,
UGC05209,146.2675,32.2383, 6.56, 535, 17.05, 32,10.083105372225656,1.3929246300223281,
NGC4395,186.4575,33.5461, 4.61, 313, 11.53, 98,598.8319374994081,4.298642022641127,
Halogas,36.8333,33.9583, 9.30, 528, 17.87, 28,171.77842079468425,5.002947931076849,
UGC07605,187.1625,35.7181, 4.43, 310, 15.77, 26,3.2632346217801533,1.514477272136583,
